"0.219","Feb 29, 2020, 05:00 UTC"
"0.218","Feb 2, 2020, 05:00 UTC"
"0.217","Dec 25, 2019, 03:00 UTC"
"0.216","Nov 27, 2019, 07:00 UTC"
"0.215","Oct 30, 2019, 07:00 UTC"
"0.214","Sep 25, 2019, 13:00 UTC"
"0.213","Sep 4, 2019, 17:00 UTC"
"0.212","Aug 3, 2019, 12:00 UTC"
"0.211","Jun 27, 2019, 07:30 UTC"
"0.210","May 30, 2019, 18:00 UTC"
"0.209","Apr 24, 2019, 09:00 UTC"
"0.208","Mar 27, 2019, 06:00 UTC"
"0.207","Feb 27, 2019, 05:00 UTC"
"0.206","Jan 30, 2019, 09:00 UTC"
"0.205","Dec 25, 2018, 23:00 UTC"
"0.204","Nov 28, 2018, 09:00 UTC"
"0.203","Oct 31, 2018, 19:00 UTC"
"0.202","Sep 26, 2018, 18:00 UTC"
"0.201","Aug 29, 2018, 18:00 UTC"
"0.200","Jul 25, 2018, 04:00 UTC"
"0.199","Jun 27, 2018, 03:00 UTC"
"0.198","May 30, 2018, 01:30 UTC"
"0.197","Apr 25, 2018, 03:40 UTC"
"0.196","Mar 28, 2018, 01:00 UTC"
"0.195","Feb 27, 2018, 20:30 UTC"
"0.194","Jan 31, 2018, 00:00 UTC"
"0.193","Dec 27, 2017, 12:00 UTC"
"0.192","Nov 29, 2017, 02:30 UTC"
"0.191","Oct 25, 2017, 03:00 UTC"
"0.190","Sep 27, 2017, 04:00 UTC"
"0.189","Aug 30, 2017, 04:00 UTC"
"0.188","Jul 26, 2017, 04:00 UTC"
"0.187","Jun 28, 2017, 03:00 UTC"
"0.186","May 31, 2017, 00:00 UTC"
"0.185","Apr 29, 2017, 18:00 UTC"
"0.184","Mar 29, 2017, 00:00 UTC"
"0.183","Feb 22, 2017, 04:00 UTC"
"0.182","Jan 25, 2017, 01:00 UTC"
"0.181","Dec 28, 2016, 01:00 UTC"
"0.180","Nov 30, 2016, 00:00 UTC"
"0.179","Oct 26, 2016, 04:00 UTC"
"0.178","Sep 28, 2016, 08:00 UTC"
"0.177","Aug 31, 2016, 09:00 UTC"
"0.176","Jul 27, 2016, 10:00 UTC"
"0.175","Jun 29, 2016, 10:00 UTC"
"0.174","May 25, 2016, 10:00 UTC"
"0.173","Apr 27, 2016, 10:00 UTC"
"0.172","Mar 30, 2016, 10:00 UTC"
"0.171","Feb 24, 2016, 10:00 UTC"
"0.170","Jan 27, 2016, 10:00 UTC"
"0.169","Dec 30, 2015, 11:00 UTC"
"0.168","Nov 25, 2015, 10:00 UTC"
